```csv
match_id,date,event,map,teamA,teamB,teamA_agents,teamB_agents,teamA_win
1001,2024-01-15,Invitational,Ascent,FNATIC,LOUD,"Jett;Sova;Killjoy;Omen;KAY/O","Raze;Skye;Cypher;Viper;Brimstone",1
1002,2024-01-22,Invitational,Bind,Sentinels,NRG,"Raze;Viper;Skye;Brimstone;Sage","Jett;Sova;Killjoy;Omen;KAY/O",0
1003,2024-02-02,Invitational,Haven,DRX,Paper Rex,"Jett;Sova;Killjoy;Omen;Breach","Raze;Skye;Cypher;Viper;Astra",1
1004,2024-02-10,Invitational,Split,100 Thieves,Liquid,"Raze;Cypher;Omen;Skye;Sage","Jett;Sova;Killjoy;Omen;KAY/O",0
1005,2024-03-05,Masters,Icebox,FNATIC,Sentinels,"Jett;Sova;Viper;Killjoy;Sage","Raze;Skye;Cypher;Viper;Harbor",1
1006,2024-03-12,Masters,Ascent,LOUD,NRG,"Raze;Skye;Cypher;Viper;Brimstone","Jett;Sova;Killjoy;Omen;KAY/O",1
1007,2024-04-01,Masters,Breeze,Paper Rex,Liquid,"Jett;Sova;Viper;Cypher;KAY/O","Raze;Skye;Cypher;Viper;Harbor",1
1008,2024-04-09,Masters,Lotus,DRX,100 Thieves,"Raze;Skye;Omen;Killjoy;Harbor","Jett;Sova;Killjoy;Omen;KAY/O",0
1009,2024-05-01,Champions,Ascent,Sentinels,FNATIC,"Jett;Sova;Killjoy;Omen;KAY/O","Raze;Skye;Cypher;Viper;Brimstone",0
1010,2024-05-08,Champions,Bind,NRG,LOUD,"Jett;Sova;Killjoy;Omen;KAY/O","Raze;Viper;Skye;Brimstone;Sage",0
1011,2024-05-15,Champions,Haven,Liquid,DRX,"Jett;Sova;Killjoy;Omen;Breach","Raze;Skye;Cypher;Viper;Astra",0
1012,2024-05-29,Champions,Split,100 Thieves,Paper Rex,"Raze;Cypher;Omen;Skye;Sage","Jett;Sova;Killjoy;Omen;KAY/O",1
1013,2024-06-10,Champions,Icebox,LOUD,FNATIC,"Raze;Skye;Cypher;Viper;Brimstone","Jett;Sova;Viper;Killjoy;Sage",0
1014,2024-06-20,Champions,Breeze,NRG,Sentinels,"Jett;Sova;Viper;Cypher;KAY/O","Raze;Skye;Cypher;Viper;Harbor",1
1015,2024-07-01,Champions,Lotus,Paper Rex,100 Thieves,"Raze;Skye;Omen;Killjoy;Harbor","Jett;Sova;Killjoy;Omen;KAY/O",1
1016,2024-07-10,Champions,Ascent,Liquid,LOUD,"Jett;Sova;Killjoy;Omen;KAY/O","Raze;Skye;Cypher;Viper;Brimstone",0
